,date,team,q1,q2,q3,q4,q5,q6
0,2024-02-15,公牛,28,29,29,31,,
1,2024-02-15,黃蜂,27,32,27,24,,
2,2024-02-15,快艇,37,29,40,19,,
3,2024-02-15,巫師,35,25,19,30,,
4,2024-02-15,活塞,23,34,34,30,,
5,2024-02-15,騎士,30,34,32,32,,
6,2024-02-15,國王,22,33,29,22,,
7,2024-02-15,熱火,28,31,31,25,,
8,2024-02-15,金塊,28,23,21,28,,
9,2024-02-15,雷霆,19,28,26,32,,
10,2024-02-15,鵜鶘,33,28,23,26,,
11,2024-02-15,火箭,25,29,25,20,,
12,2024-02-15,獨行俠,21,27,22,17,,
13,2024-02-15,灰狼,24,28,31,38,,
14,2024-02-15,魔術,27,30,34,17,,
15,2024-02-15,馬刺,30,21,21,26,,
16,2024-02-15,太陽,30,34,42,30,,
17,2024-02-15,籃網,30,31,26,33,,
18,2024-02-15,公鹿,38,27,26,25,,
19,2024-02-15,拓荒者,37,30,29,23,,
20,2024-02-15,溜馬,36,22,26,21,,
21,2024-02-15,尼克,26,25,28,30,,
22,2024-02-15,湖人,28,32,28,26,,
23,2024-02-15,塞爾蒂克,25,21,32,27,,
24,2024-02-15,騎士,27,24,30,27,,
25,2024-02-15,灰熊,27,31,22,21,,
26,2024-02-15,76人,39,32,22,34,,
27,2024-02-15,爵士,32,29,32,31,,
28,2024-02-15,快艇,27,38,36,35,,
29,2024-02-15,活塞,33,26,31,35,,
30,2024-02-15,熱火,31,25,31,23,,
31,2024-02-15,巫師,33,26,15,28,,
32,2024-02-15,國王,38,33,28,34,,
33,2024-02-15,溜馬,39,25,24,34,,
34,2024-02-15,太陽,30,33,32,25,,
35,2024-02-15,老鷹,33,33,34,29,,
36,2024-02-15,鵜鶘,24,34,30,26,,
37,2024-02-15,馬刺,33,32,23,25,,
38,2024-02-15,魔術,26,28,26,28,,
39,2024-02-15,灰狼,38,21,29,18,,
40,2024-02-15,暴龍,23,24,25,34,,
41,2024-02-15,火箭,37,29,36,33,,
42,2024-02-15,勇士,24,33,28,36,,
43,2024-02-15,灰熊,23,24,26,28,,
44,2024-02-15,黃蜂,19,23,30,34,,
45,2024-02-15,雷霆,39,34,32,21,,
46,2024-02-15,拓荒者,20,35,29,24,,
47,2024-02-15,金塊,33,26,33,28,,
48,2024-02-15,籃網,38,29,38,31,,
49,2024-02-15,76人,22,29,31,39,,
50,2024-02-15,勇士,33,31,25,34,11,
51,2024-02-15,老鷹,28,36,25,34,18,
52,2024-02-15,國王,32,39,20,32,,
53,2024-02-15,公牛,25,27,29,34,,
54,2024-02-15,公鹿,20,40,33,36,,
55,2024-02-15,獨行俠,44,21,27,25,,
56,2024-02-15,騎士,30,37,25,25,,
57,2024-02-15,馬刺,25,20,26,30,,
58,2024-02-15,湖人,27,32,21,33,,
59,2024-02-15,尼克,25,34,27,19,,
60,2024-02-15,魔術,24,26,28,33,,
61,2024-02-15,活塞,29,18,28,24,,
62,2024-02-15,太陽,42,37,37,24,,
63,2024-02-15,巫師,28,30,28,26,,
64,2024-02-15,灰熊,20,30,26,15,,
65,2024-02-15,塞爾蒂克,29,41,29,32,,
66,2024-02-15,快艇,19,24,26,34,,
67,2024-02-15,熱火,22,21,24,28,,
68,2024-02-15,溜馬,26,29,36,24,,
69,2024-02-15,黃蜂,13,31,32,23,,
70,2024-02-15,暴龍,33,30,24,23,8,9
71,2024-02-15,雷霆,23,24,34,29,8,17
72,2024-02-15,火箭,23,21,20,26,,
73,2024-02-15,灰狼,31,17,32,31,,
74,2024-02-15,公鹿,26,37,32,13,,
75,2024-02-15,爵士,32,21,30,40,,
76,2024-02-15,拓荒者,37,26,21,19,,
77,2024-02-15,金塊,25,35,26,26,,
78,2024-02-15,獨行俠,26,27,24,41,,
79,2024-02-15,76人,33,24,17,28,,
80,2024-02-15,國王,34,25,33,18,,
81,2024-02-15,騎士,39,35,32,30,,
82,2024-02-15,湖人,37,37,26,24,,
83,2024-02-15,黃蜂,29,29,28,32,,
84,2024-02-15,快艇,37,29,36,47,,
85,2024-02-15,老鷹,28,38,35,43,,
86,2024-02-15,勇士,20,23,32,34,,
87,2024-02-15,籃網,23,26,21,28,,
88,2024-02-15,暴龍,19,31,21,29,,
89,2024-02-15,鵜鶘,36,31,38,33,,
90,2024-02-15,火箭,39,36,24,30,,
91,2024-02-15,溜馬,41,27,38,26,,
92,2024-02-15,魔術,19,30,26,20,,
93,2024-02-15,熱火,26,30,40,25,,
94,2024-02-15,灰熊,24,22,28,39,,
95,2024-02-15,尼克,33,37,27,26,,
96,2024-02-15,獨行俠,31,34,30,24,,
97,2024-02-15,籃網,24,23,30,30,,
98,2024-02-15,灰狼,33,36,23,23,8,
99,2024-02-15,公牛,22,25,36,32,14,
100,2024-02-15,雷霆,33,35,24,25,,
101,2024-02-15,爵士,28,33,35,28,,
102,2024-02-15,公鹿,23,26,24,33,,
103,2024-02-15,太陽,22,26,31,35,,
104,2024-02-15,騎士,27,30,23,34,,
105,2024-02-15,巫師,27,30,22,27,,
106,2024-02-15,暴龍,27,27,37,32,,
107,2024-02-15,黃蜂,36,24,37,20,,
108,2024-02-15,馬刺,31,20,26,27,,
109,2024-02-15,熱火,32,21,25,38,,
110,2024-02-15,勇士,15,33,43,36,,
111,2024-02-15,76人,22,23,23,36,,
112,2024-02-15,老鷹,37,30,23,27,,
113,2024-02-15,塞爾蒂克,35,36,24,30,,
114,2024-02-15,鵜鶘,36,19,24,38,,
115,2024-02-15,快艇,19,28,22,37,,
116,2024-02-15,活塞,31,39,27,36,,
117,2024-02-15,國王,36,27,36,21,,
118,2024-02-15,勇士,45,25,25,36,,
119,2024-02-15,溜馬,34,24,18,33,,
120,2024-02-15,馬刺,20,24,41,26,,
121,2024-02-15,魔術,23,38,37,29,,
122,2024-02-15,騎士,32,27,31,28,,
123,2024-02-15,籃網,21,30,18,26,,
124,2024-02-15,獨行俠,28,31,28,35,,
125,2024-02-15,尼克,22,26,23,37,,
126,2024-02-15,灰狼,30,33,39,27,,
127,2024-02-15,公鹿,26,27,22,30,,
128,2024-02-15,公牛,27,25,28,38,,
129,2024-02-15,灰熊,31,25,25,29,,
130,2024-02-15,爵士,28,38,24,25,,
131,2024-02-15,太陽,40,35,34,20,,
132,2024-02-15,活塞,25,31,28,36,8,
133,2024-02-15,拓荒者,30,41,26,23,2,
134,2024-02-15,金塊,29,30,24,31,,
135,2024-02-15,湖人,23,26,30,27,,
136,2024-02-15,老鷹,37,36,30,24,,
137,2024-02-15,76人,26,30,30,35,,
138,2024-02-15,火箭,20,29,22,33,,
139,2024-02-15,暴龍,34,27,27,19,,
140,2024-02-15,巫師,35,36,16,42,,
141,2024-02-15,塞爾蒂克,31,33,36,33,,
142,2024-02-15,黃蜂,17,21,25,21,,
143,2024-02-15,公鹿,31,35,33,21,,
144,2024-02-15,金塊,35,22,29,20,,
145,2024-02-15,國王,32,35,39,29,,
146,2024-02-15,鵜鶘,39,35,28,20,,
147,2024-02-15,湖人,36,51,28,24,,
148,2024-02-15,雷霆,30,32,27,22,,
149,2024-02-15,獨行俠,47,24,39,36,,
150,2024-02-15,活塞,30,28,23,25,,
151,2024-02-15,快艇,31,18,27,36,,
152,2024-02-15,馬刺,30,18,27,28,,
153,2024-02-15,籃網,33,27,33,30,,
154,2024-02-15,灰熊,28,21,27,30,,
155,2024-02-15,黃蜂,25,33,27,30,,
156,2024-02-15,公牛,24,26,36,15,7,
157,2024-02-15,魔術,26,26,28,21,13,
158,2024-02-15,76人,33,26,31,29,,
159,2024-02-15,巫師,26,30,24,33,,
160,2024-02-15,火箭,31,18,35,29,,
161,2024-02-15,老鷹,19,38,38,27,,
162,2024-02-15,溜馬,26,35,30,34,,
163,2024-02-15,尼克,27,31,24,29,,
164,2024-02-15,騎士,30,37,28,24,,
165,2024-02-15,暴龍,24,23,26,22,,
166,2024-02-15,太陽,28,30,24,30,,
167,2024-02-15,勇士,33,26,25,29,,
168,2024-02-15,鵜鶘,29,18,17,29,,
169,2024-02-15,拓荒者,24,16,23,21,,
170,2024-02-15,塞爾蒂克,26,33,27,24,,
171,2024-02-15,熱火,22,28,29,27,,
172,2024-02-15,國王,27,30,26,30,,
173,2024-02-15,雷霆,29,38,33,27,,
174,2024-02-15,溜馬,24,25,31,22,,
175,2024-02-15,黃蜂,25,23,33,30,,
176,2024-02-15,76人,34,32,25,32,,
177,2024-02-15,騎士,33,29,30,29,,
178,2024-02-15,公牛,26,34,37,39,,
179,2024-02-15,老鷹,33,26,33,34,,
180,2024-02-15,馬刺,34,33,36,19,,
181,2024-02-15,暴龍,28,22,25,24,,
182,2024-02-15,金塊,23,21,19,32,,
183,2024-02-15,公鹿,28,32,31,21,,
184,2024-02-15,鵜鶘,31,30,25,10,,
185,2024-02-15,灰熊,26,21,26,14,,
186,2024-02-15,尼克,22,21,28,32,,
187,2024-02-15,火箭,29,28,17,31,,
188,2024-02-15,巫師,22,36,30,16,,
189,2024-02-15,獨行俠,26,25,27,34,,
190,2024-02-15,勇士,34,29,30,36,,
191,2024-02-15,爵士,26,29,25,27,,
192,2024-02-15,灰狼,28,21,40,32,,
193,2024-02-15,快艇,24,29,19,28,,
194,2024-02-15,雷霆,31,29,32,35,,
195,2024-02-15,魔術,32,20,30,31,,
196,2024-02-15,塞爾蒂克,36,36,26,20,,
197,2024-02-15,籃網,30,27,25,28,,
198,2024-02-15,熱火,40,29,29,25,,
199,2024-02-15,公鹿,28,24,24,21,,
200,2024-02-15,灰狼,37,22,25,37,,
201,2024-02-15,拓荒者,25,26,32,26,,
202,2024-02-15,國王,39,28,25,33,,
203,2024-02-15,太陽,38,26,30,36,,
204,2024-02-15,活塞,24,24,31,32,,
205,2024-02-15,湖人,34,37,28,26,,
206,2024-02-15,老鷹,31,24,25,19,,
207,2024-02-15,黃蜂,29,32,35,26,,
208,2024-02-15,尼克,36,19,22,23,,
209,2024-02-15,魔術,27,38,24,29,,
210,2024-02-15,熱火,33,27,23,26,,
211,2024-02-15,76人,33,29,20,22,,
212,2024-02-15,公牛,32,17,27,29,,
213,2024-02-15,騎士,25,18,28,37,,
214,2024-02-15,溜馬,31,34,36,26,,
215,2024-02-15,暴龍,35,36,32,22,,
216,2024-02-15,籃網,15,17,23,31,,
217,2024-02-15,塞爾蒂克,30,38,33,35,,
218,2024-02-15,火箭,21,28,32,32,,
219,2024-02-15,灰熊,36,22,26,37,,
220,2024-02-15,巫師,26,34,38,28,,
221,2024-02-15,鵜鶘,31,37,31,34,,
222,2024-02-15,馬刺,32,19,14,28,,
223,2024-02-15,獨行俠,25,31,32,28,,
224,2024-02-15,國王,16,25,30,31,,
225,2024-02-15,金塊,27,26,21,24,,
226,2024-02-15,活塞,25,16,28,31,,
227,2024-02-15,太陽,37,33,29,17,,
228,2024-02-15,湖人,34,36,38,30,,
229,2024-02-15,爵士,28,41,23,30,,
230,2024-02-15,快艇,23,29,34,44,,
231,2024-02-15,勇士,30,29,38,28,,
